file_path,emotion,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch,intensity
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-05-01-02-01-16.wav,sad,-563.28656,49.648838,-6.105738,10.458235,-5.491734,-0.33151755,-9.9508915,-0.90741235,-10.08037,-7.562868,-8.875398,-1.2832767,-4.3651705,25.564867,0.0116572585
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-06-01-02-02-16.wav,sad,-582.41504,53.82776,-6.217736,7.7031937,-1.5356784,4.7516317,-11.035255,-6.731742,-12.881447,-9.406088,-5.0807076,0.43318963,-7.476513,27.623007,0.00869191
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-06-02-01-02-16.wav,sad,-418.49988,39.591274,-25.592108,-2.834798,-5.6961985,-2.1065917,-18.492926,-7.5460377,-12.406196,-9.510558,-6.9370213,-1.2075871,-9.490372,45.738182,0.03822851
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-05-02-01-01-16.wav,sad,-470.2107,48.589825,-8.505513,5.7287583,-3.0265071,-2.5719056,-14.422111,0.16104396,-6.6395006,-8.884907,-6.1922703,0.93037045,-5.094511,23.267593,0.02340048
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-07-01-01-01-16.wav,sad,-650.4923,64.39037,0.82921916,11.523897,-0.35862207,3.5913172,-6.460954,0.64066356,-12.072954,-4.1151204,-5.8277154,1.0929084,-3.342395,30.655373,0.0041613183
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-04-01-01-02-16.wav,sad,-699.4721,72.06031,7.2975764,10.884043,3.8731945,2.3454242,-9.802934,-5.979672,-11.092628,-4.559789,-3.8955486,-1.7496175,-6.4008,26.593822,0.0026718066
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-04-02-02-02-16.wav,sad,-634.4853,71.03974,-6.5669284,7.7214084,-0.30542237,6.9913554,-15.028293,-12.167974,-16.926113,-4.6786165,-3.3898425,-0.9239805,-9.096961,37.88613,0.005783128
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-07-02-02-01-16.wav,sad,-600.0875,59.866695,6.064599,18.247078,-2.0502331,7.751212,-12.605536,-2.6126618,-10.890645,-7.04582,-7.5973454,2.0695343,-6.358903,21.62119,0.008423584
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-08-02-02-01-16.wav,happy,-538.68353,53.07105,-7.990157,1.0590999,-5.0612955,1.435333,-16.121513,-7.4946203,-11.9467745,-6.2145114,-7.865437,-1.7555795,-9.163767,37.169292,0.01674053
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-08-01-01-01-16.wav,happy,-634.4156,60.700737,-4.737706,2.8596604,-0.49712363,-0.025504606,-11.302062,-6.2819915,-9.782394,-4.028159,-2.6037018,-1.520769,-7.3608003,26.539803,0.0055340645
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-03-02-02-02-16.wav,happy,-554.5332,52.558823,-7.9272623,5.60135,-0.75646085,3.4245107,-13.465367,-4.8056545,-8.31422,-6.7996616,-3.5698268,1.1086127,-3.9270422,30.71178,0.011075232
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-03-01-01-02-16.wav,happy,-593.4962,56.980537,-7.2371716,7.5159774,2.2314079,4.328758,-9.237195,-2.9362807,-8.2435875,-3.2949524,-1.6675328,-0.7313612,-5.5131645,40.093925,0.007525118
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-02-02-01-01-16.wav,happy,-674.0994,62.795067,3.5603364,9.729161,-0.023848942,4.4203014,-9.839372,-3.7491684,-8.619714,-1.4153316,-2.3824022,-2.656626,-5.4951797,35.289986,0.0029178136
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-01-01-02-02-16.wav,neutral,-665.2718,57.933636,5.258662,13.2363825,0.6685572,6.644537,-11.583323,-4.477791,-8.907587,-3.7285652,-3.0972328,-3.3173385,-4.5042996,22.44789,0.0042802943
/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-02-01-02-01-16.wav,happy,-690.68744,57.287395,8.065511,16.855114,0.46501148,8.735891,-13.024316,-4.5036874,-8.185371,-2.8935623,-4.409372,-2.119327,-6.2471304,29.583654,0.0030938126
