mfcc_4,mfcc_1,mfcc_13,input_ids,mfcc_6,file_path,pitch,intensity,mfcc_9,emotion,attention_mask,mfcc_5,video_path,mfcc_8,mfcc_11,mfcc_2,frame_path,mfcc_7,mfcc_12,mfcc_3,mfcc_10,source
10.458235,-563.28656,-4.3651705,,-0.33151755,/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-05-01-02-01-16.wav,25.564867,0.0116572585,-10.08037,1,,-5.491734,,-0.90741235,-8.875398,49.648838,,-9.9508915,-1.2832767,-6.105738,-7.562868,audio
7.7031937,-582.41504,-7.476513,,4.7516317,/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-06-01-02-02-16.wav,27.623007,0.00869191,-12.881447,1,,-1.5356784,,-6.731742,-5.0807076,53.82776,,-11.035255,0.43318963,-6.217736,-9.406088,audio
-2.834798,-418.49988,-9.490372,,-2.1065917,/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-06-02-01-02-16.wav,45.738182,0.03822851,-12.406196,1,,-5.6961985,,-7.5460377,-6.9370213,39.591274,,-18.492926,-1.2075871,-25.592108,-9.510558,audio
5.7287583,-470.2107,-5.094511,,-2.5719056,/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-05-02-01-01-16.wav,23.267593,0.02340048,-6.6395006,1,,-3.0265071,,0.16104396,-6.1922703,48.589825,,-14.422111,0.93037045,-8.505513,-8.884907,audio
11.523897,-650.4923,-3.342395,,3.5913172,/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-07-01-01-01-16.wav,30.655373,0.0041613183,-12.072954,1,,-0.35862207,,0.64066356,-5.8277154,64.39037,,-6.460954,1.0929084,0.82921916,-4.1151204,audio
10.884043,-699.4721,-6.4008,,2.3454242,/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-04-01-01-02-16.wav,26.593822,0.0026718066,-11.092628,1,,3.8731945,,-5.979672,-3.8955486,72.06031,,-9.802934,-1.7496175,7.2975764,-4.559789,audio
7.7214084,-634.4853,-9.096961,,6.9913554,/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-04-02-02-02-16.wav,37.88613,0.005783128,-16.926113,1,,-0.30542237,,-12.167974,-3.3898425,71.03974,,-15.028293,-0.9239805,-6.5669284,-4.6786165,audio
18.247078,-600.0875,-6.358903,,7.751212,/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-07-02-02-01-16.wav,21.62119,0.008423584,-10.890645,1,,-2.0502331,,-2.6126618,-7.5973454,59.866695,,-12.605536,2.0695343,6.064599,-7.04582,audio
1.0590999,-538.68353,-9.163767,,1.435333,/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-08-02-02-01-16.wav,37.169292,0.01674053,-11.9467745,0,,-5.0612955,,-7.4946203,-7.865437,53.07105,,-16.121513,-1.7555795,-7.990157,-6.2145114,audio
2.8596604,-634.4156,-7.3608003,,-0.025504606,/Users/robamahmoud/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/Actor_16/03-01-08-01-01-01-16.wav,26.539803,0.0055340645,-9.782394,0,,-0.49712363,,-6.2819915,-2.6037018,60.700737,,-11.302062,-1.520769,-4.737706,-4.028159,audio
